id,title,category,subcategory,core_idea,why_it_matters,evidence_strength,practical_application,reflection_prompt,difficulty,novelty_score,estimated_minutes,source_type
DE001,The agreement-before-disagreement effect,Communication & influence,Persuasion,Start by validating part of the other person's view before presenting your disagreement.,"It reduces defensiveness and signals cooperation, which makes your reasoning easier to hear.",Moderate,"In your next disagreement, open with one point of genuine agreement before your counterpoint.",Where in your life do you argue before making the other person feel understood?,practical,2,15,behavioral science
DE002,Identity-protective reasoning,Mind & behavior,Cognition,People often reject facts that threaten a group or identity they care about.,"When a belief is tied to identity, updating it can feel like social loss rather than learning.",Strong,Frame hard truths in ways that preserve dignity before presenting evidence.,Which of your views is hard to question because it is tied to who you are?,conceptual,3,15,psychology
DE003,The spotlight effect,Mind & behavior,Social cognition,People usually notice your mistakes far less than you think.,"You have full access to your own awkward moments, so you overestimate how visible they are to others.",Strong,"Before a presentation, remind yourself that the audience is mostly tracking the message, not your micro-errors.",What social fear of yours would shrink if you really believed this?,practical,1,10,psychology
DE004,Cognitive reappraisal,Mind & behavior,Emotional regulation,"Stress often changes when you change the interpretation, not the event.",Reframing can reduce perceived threat and restore a sense of control.,Strong,"When anxious, ask: what else could this mean besides danger?",What recurring stressor could you reinterpret more productively?,practical,2,12,psychology
DE005,The pause boosts authority,Public speaking,Delivery,A short pause before or after an important sentence increases perceived control and emphasis.,"Pauses create cognitive space, mark importance, and stop you from sounding rushed.",Moderate,Pause one beat before your core message and one beat after it.,Which part of your speaking becomes weaker because you rush it?,practical,1,8,rhetoric
DE006,One message per talk,Public speaking,Structure,Audiences remember a single sharp thesis better than several medium-strength points.,Working memory is limited; clarity beats coverage.,Strong,Write the one sentence you want the audience to remember and test every slide against it.,What presentation of yours is trying to say too many things at once?,practical,2,12,communication research
DE007,Stories beat abstractions,Communication & influence,Narrative,People retain concrete stories more easily than abstract explanations.,"Stories provide causality, characters, and emotion that support recall.",Strong,"When explaining a concept, begin with a specific case before generalizing.",Where do you explain too abstractly when an anecdote would work better?,practical,1,10,communication research
DE008,The curse of knowledge,Communication & influence,Explanation,"Once you know something, it is hard to imagine what it feels like not to know it.",Experts unconsciously skip steps and overload novices.,Strong,"Before teaching, list three assumptions a beginner does not share with you.",Where do you assume background knowledge that other people do not have?,practical,2,12,cognition
DE009,Implementation intentions,Mind & behavior,Habits,Habits improve when you define exactly when and where the behavior will happen.,If-then plans reduce decision friction and increase follow-through.,Strong,"Turn a vague goal into a script: after coffee, I will do 10 minutes of Daily Edge.",Which of your goals fails because it is still too vague?,practical,1,10,behavior change
DE010,Variable reward loops,Mind & behavior,Habits,Unpredictable rewards can reinforce compulsive checking more than predictable ones.,Variable reinforcement keeps attention hooked because the next payoff might be just one refresh away.,Strong,Notice which apps keep you engaged through uncertainty rather than value.,Which part of your information diet is built to hook you rather than help you?,conceptual,2,12,behavioral science
